,Entity,Code,Year,Ratio
2949,Oceania,,1925,0.97204286
2950,Oceania,,1930,0.9674131
2951,Oceania,,1935,0.96523756
2952,Oceania,,1940,0.95946676
2953,Oceania,,1945,0.951169
2954,Oceania,,1950,0.9512779
2955,Oceania,,1955,0.9471893
2956,Oceania,,1960,0.9516086
2957,Oceania,,1965,0.95635015
2958,Oceania,,1970,0.9204155
2959,Oceania,,1975,0.9484269
2960,Oceania,,1980,0.9717263
2961,Oceania,,1985,0.97525567
2962,Oceania,,1990,0.98248845
2963,Oceania,,1995,0.99526626
2964,Oceania,,2000,1.0054966
2965,Oceania,,2005,1.0152032
2966,Oceania,,2010,1.0241235
3499,South America,,2015,1.0433342
3500,South America,,2020,1.0474987
3501,South America,,2025,1.0508229
3502,South America,,2030,1.0545347
3503,South America,,2035,1.0564983
3504,South America,,2040,1.0567722
3505,South America,,1870,0.28640348
3506,South America,,1875,0.3154243
3507,South America,,1880,0.33635366
3508,South America,,1885,0.37752077
3509,South America,,1890,0.44828248
3510,South America,,1895,0.5061413
3511,South America,,1900,0.64196134
3512,South America,,1905,0.70547
3513,South America,,1910,0.87460405
3514,South America,,1915,0.84149903
3515,South America,,1920,0.85040975
3516,South America,,1925,0.8490705
3517,South America,,1930,0.8480352
3518,South America,,1935,0.852739
3519,South America,,1940,0.8665798
3520,South America,,1945,0.86194533
3521,South America,,1950,0.85351986
3522,South America,,1955,0.86024517
3523,South America,,1960,0.87245494
3524,South America,,1965,0.8895868
3525,South America,,1970,0.89898837
3526,South America,,1975,0.9192318
3527,South America,,1980,0.9436224
3528,South America,,1985,0.990714
3529,South America,,1990,1.0171493
3530,South America,,1995,1.017532
3531,South America,,2000,1.0169624
3532,South America,,2005,1.0154772
3533,South America,,2010,1.0315069
